,datetime,year,month,day,holiday,temp,tempmax,tempmin,humidity,precip,snowdepth,solarenergy,weather,pothole
0,2011-01-01,2011,1,1,1,-3.7,8.1,-9.2,58.9,1.38,0.0,8.3,5,49.0
1,2011-01-02,2011,1,2,1,-7.2,-4.0,-10.8,59.2,0.0,0.0,9.4,1,32.0
2,2011-01-03,2011,1,3,0,-1.8,2.0,-5.8,62.0,0.0,0.0,7.6,2,296.0
3,2011-01-04,2011,1,4,0,-5.0,-0.6,-9.2,66.7,0.0,0.0,9.1,2,354.0
4,2011-01-05,2011,1,5,0,-5.8,-0.4,-11.4,66.1,0.0,0.0,6.0,2,357.0
5,2011-01-06,2011,1,6,0,-3.9,-1.7,-7.2,61.3,0.0,0.0,6.9,2,323.0
6,2011-01-07,2011,1,7,0,-7.6,-5.8,-9.8,63.6,0.14,0.0,5.3,6,244.0
7,2011-01-08,2011,1,8,1,-8.8,-4.4,-12.4,62.8,0.0,0.0,5.4,2,23.0
8,2011-01-09,2011,1,9,1,-6.6,-1.1,-12.0,60.1,0.0,0.0,8.1,2,45.0
9,2011-01-10,2011,1,10,0,-3.2,0.1,-6.4,60.3,0.0,0.0,8.2,2,345.0
10,2011-01-11,2011,1,11,0,-3.7,-2.8,-4.9,78.5,3.37,8.2,1.8,6,268.0
11,2011-01-12,2011,1,12,0,-4.0,-2.3,-6.1,70.7,0.0,8.7,5.0,3,242.0
12,2011-01-13,2011,1,13,0,-5.9,-4.2,-8.9,74.8,0.0,6.3,4.0,3,237.0
13,2011-01-14,2011,1,14,0,-6.0,-3.3,-8.3,74.1,0.0,5.0,6.6,3,260.0
14,2011-01-15,2011,1,15,1,-5.2,-3.5,-7.9,68.9,0.07,4.6,5.7,6,31.0
15,2011-01-16,2011,1,16,1,-8.1,-5.3,-12.6,70.3,0.0,3.9,6.6,2,43.0
16,2011-01-17,2011,1,17,1,-3.0,1.3,-7.1,76.7,2.93,5.0,3.8,5,40.0
17,2011-01-18,2011,1,18,0,-1.8,1.1,-5.0,85.0,1.79,3.5,4.9,5,213.0
18,2011-01-19,2011,1,19,0,-6.5,-4.2,-8.5,68.6,0.0,3.5,6.3,2,228.0
19,2011-01-20,2011,1,20,0,-8.5,-6.2,-13.1,66.0,0.0,3.4,3.4,2,351.0
20,2011-01-21,2011,1,21,0,-15.5,-12.6,-18.7,56.7,0.0,3.0,9.8,2,249.0
21,2011-01-22,2011,1,22,1,-11.4,-7.5,-13.9,67.7,0.07,3.7,5.3,6,59.0
22,2011-01-23,2011,1,23,1,-10.2,-6.3,-14.1,57.1,0.0,3.9,7.7,2,53.0
23,2011-01-24,2011,1,24,0,-5.7,-2.2,-9.0,82.3,0.28,4.6,5.9,6,210.0
24,2011-01-25,2011,1,25,0,-3.1,-1.1,-5.9,82.8,0.0,3.5,8.7,3,268.0
25,2011-01-26,2011,1,26,0,-4.4,-1.9,-7.1,79.1,0.0,3.5,7.7,3,296.0
26,2011-01-27,2011,1,27,0,-5.4,-3.4,-8.0,80.8,0.59,3.9,3.5,6,216.0
27,2011-01-28,2011,1,28,0,-3.3,-0.3,-7.5,72.9,0.0,5.0,10.6,2,210.0
28,2011-01-29,2011,1,29,1,-0.8,1.3,-3.0,75.2,0.0,4.2,11.2,3,62.0
29,2011-01-30,2011,1,30,1,-1.5,-0.9,-2.4,75.3,0.0,3.5,8.6,3,47.0
30,2011-01-31,2011,1,31,0,-5.0,-3.0,-6.8,66.5,0.75,3.5,5.7,6,271.0
31,2011-02-01,2011,2,1,0,-5.7,-4.4,-6.8,81.5,7.43,8.0,4.0,6,179.0
32,2011-02-02,2011,2,2,0,-6.6,-4.4,-11.2,73.2,10.74,44.9,5.6,6,8.0
33,2011-02-03,2011,2,3,0,-13.0,-8.4,-18.1,56.8,3.22,48.9,12.9,6,15.0
